LTER	Dataset	Locale	Species	Abundance.trend
Arctic	StreamInsects	-1000	BAETIS	-1.26776474317828
Arctic	StreamInsects	-400	BAETIS	0.687917547518786
Arctic	StreamInsects	-500	BAETIS	2.50160723637115
Arctic	StreamInsects	1000	BAETIS	-3.19567042816266
Arctic	StreamInsects	140	BAETIS	0.181327710491055
Arctic	StreamInsects	1400	BAETIS	-2.61718820660251
Arctic	StreamInsects	2000	BAETIS	-3.52597837123213
Arctic	StreamInsects	3000	BAETIS	-1.57155791651831
Arctic	StreamInsects	340	BAETIS	-0.400295738235434
Arctic	StreamInsects	590	BAETIS	-0.807416607069106
Arctic	StreamInsects	740	BAETIS	-1.71023122233987
Arctic	StreamInsects	-1000	BAETSP3	1.33333334068837
Arctic	StreamInsects	140	BAETSP3	1.05931534099182
Arctic	StreamInsects	1400	BAETSP3	1.0845315052418
Arctic	StreamInsects	3000	BAETSP3	1.49024253841939
Arctic	StreamInsects	340	BAETSP3	1.4173082845861
Arctic	StreamInsects	590	BAETSP3	1.98931965804495
Arctic	StreamInsects	740	BAETSP3	1.66969326194724
Arctic	StreamInsects	-1000	BLACK	-0.729075134061845
Arctic	StreamInsects	-400	BLACK	-1.13132410465018
Arctic	StreamInsects	-500	BLACK	-0.221646945361666
Arctic	StreamInsects	1000	BLACK	-1.25651010540189
Arctic	StreamInsects	140	BLACK	1.31772026875163
Arctic	StreamInsects	1400	BLACK	0.128083706971135
Arctic	StreamInsects	2000	BLACK	1.61615048913848
Arctic	StreamInsects	3000	BLACK	-0.988642579568138
Arctic	StreamInsects	340	BLACK	-0.468394632284385
Arctic	StreamInsects	590	BLACK	-0.015599153673954
Arctic	StreamInsects	740	BLACK	-0.148200381754407
Arctic	StreamInsects	1000	BLKPUPA	1.60741436262645
Arctic	StreamInsects	140	BLKPUPA	1.05931534099182
Arctic	StreamInsects	1400	BLKPUPA	0.690397477388594
Arctic	StreamInsects	2000	BLKPUPA	4.04165801324236
Arctic	StreamInsects	3000	BLKPUPA	1.26560000973367
Arctic	StreamInsects	340	BLKPUPA	3.33887762045692
Arctic	StreamInsects	590	BLKPUPA	1.05931534390908
Arctic	StreamInsects	740	BLKPUPA	3.6020846247967
Arctic	StreamInsects	-1000	BRACHY	-1.05503360147932
Arctic	StreamInsects	-400	BRACHY	-1.55808234562205
Arctic	StreamInsects	-500	BRACHY	0.837648981570056
Arctic	StreamInsects	1000	BRACHY	-1.35667770681605
Arctic	StreamInsects	140	BRACHY	-2.50837240330158
Arctic	StreamInsects	1400	BRACHY	-0.771858498221764
Arctic	StreamInsects	2000	BRACHY	-1.72294569060881
Arctic	StreamInsects	3000	BRACHY	-0.640613107681205
Arctic	StreamInsects	340	BRACHY	-1.53206520475499
Arctic	StreamInsects	590	BRACHY	-2.28317618652355
Arctic	StreamInsects	740	BRACHY	0.474158195244614
Arctic	StreamInsects	1000	CHIPUPA	4.22325809956989
Arctic	StreamInsects	140	CHIPUPA	1.99663767679189
Arctic	StreamInsects	1400	CHIPUPA	3.15342657474097
Arctic	StreamInsects	2000	CHIPUPA	2.2889675507092
Arctic	StreamInsects	3000	CHIPUPA	1.17321429765509
Arctic	StreamInsects	340	CHIPUPA	3.27478474501327
Arctic	StreamInsects	590	CHIPUPA	1.70024674888689
Arctic	StreamInsects	740	CHIPUPA	3.81090587843084
Arctic	StreamInsects	-1000	CINYG	1.00280625265828
Arctic	StreamInsects	-400	CINYG	2.51502547725027
Arctic	StreamInsects	-500	CINYG	0.967245008908577
Arctic	StreamInsects	1000	CINYG	-0.705916326882121
Arctic	StreamInsects	140	CINYG	2.36267278943043
Arctic	StreamInsects	1400	CINYG	1.24689383131735
Arctic	StreamInsects	2000	CINYG	2.80817453225589
Arctic	StreamInsects	3000	CINYG	-1.60381537337086
Arctic	StreamInsects	340	CINYG	2.18530606415318
Arctic	StreamInsects	590	CINYG	0.87629076353653
Arctic	StreamInsects	740	CINYG	1.02868394702329
Arctic	StreamInsects	-1000	EPHEM	3.15951381693013
Arctic	StreamInsects	-400	EPHEM	2.16561424747831
Arctic	StreamInsects	-500	EPHEM	2.73727583011375
Arctic	StreamInsects	1000	EPHEM	1.54885571116889
Arctic	StreamInsects	140	EPHEM	-0.638040361446798
Arctic	StreamInsects	1400	EPHEM	1.90839573321446
Arctic	StreamInsects	2000	EPHEM	1.760799231895
Arctic	StreamInsects	3000	EPHEM	2.61524452117282
Arctic	StreamInsects	340	EPHEM	0.733767260846466
Arctic	StreamInsects	590	EPHEM	1.27543065573484
Arctic	StreamInsects	740	EPHEM	2.21532122243243
Arctic	StreamInsects	1000	NATARSIA	4.22325809956989
Arctic	StreamInsects	1400	NATARSIA	2.8034284159947
Arctic	StreamInsects	2000	NATARSIA	4.04165801324236
Arctic	StreamInsects	3000	NATARSIA	1.29280362343908
Arctic	StreamInsects	590	NATARSIA	0.807666141114306
Arctic	StreamInsects	740	NATARSIA	0.914897063601407
Arctic	StreamInsects	-1000	NEMOURA	-2.66666666663366
Arctic	StreamInsects	-400	NEMOURA	-1.89333483250818
Arctic	StreamInsects	-500	NEMOURA	-0.111293820992566
Arctic	StreamInsects	1000	NEMOURA	-1.44696919718748
Arctic	StreamInsects	140	NEMOURA	-0.939059377313016
Arctic	StreamInsects	1400	NEMOURA	2.23486318045118
Arctic	StreamInsects	2000	NEMOURA	-1.35462181748148
Arctic	StreamInsects	3000	NEMOURA	1.68845463932071
Arctic	StreamInsects	340	NEMOURA	0.167069981231157
Arctic	StreamInsects	590	NEMOURA	1.36285428150995
Arctic	StreamInsects	740	NEMOURA	2.21813223508097
Arctic	StreamInsects	-1000	ORTHO	-2.02029942206432
Arctic	StreamInsects	-400	ORTHO	-1.53722948902786
Arctic	StreamInsects	-500	ORTHO	-2.06205885168802
Arctic	StreamInsects	1000	ORTHO	-2.27918726823968
Arctic	StreamInsects	140	ORTHO	-1.60520573437519
Arctic	StreamInsects	1400	ORTHO	-2.09915287636034
Arctic	StreamInsects	2000	ORTHO	-2.27410462720545
Arctic	StreamInsects	3000	ORTHO	-2.66123775183463
Arctic	StreamInsects	340	ORTHO	-2.31038226336504
Arctic	StreamInsects	590	ORTHO	-1.53343663021596
Arctic	StreamInsects	740	ORTHO	-2.23492975476776
Arctic	StreamInsects	-1000	OTHCHIR	2.77039987421353
Arctic	StreamInsects	-400	OTHCHIR	2.81704267809994
Arctic	StreamInsects	-500	OTHCHIR	2.88554068630139
Arctic	StreamInsects	1000	OTHCHIR	2.55824579356683
Arctic	StreamInsects	140	OTHCHIR	0.190830979990363
Arctic	StreamInsects	1400	OTHCHIR	1.89433583836678
Arctic	StreamInsects	2000	OTHCHIR	1.57181065509059
Arctic	StreamInsects	3000	OTHCHIR	2.02816316880941
Arctic	StreamInsects	340	OTHCHIR	1.09854107990943
Arctic	StreamInsects	590	OTHCHIR	0.119202974997454
Arctic	StreamInsects	740	OTHCHIR	2.56083182213462
Arctic	StreamInsects	-1000	RHYAC	-1.33333336370037
Arctic	StreamInsects	-400	RHYAC	2.79508497185416
Arctic	StreamInsects	1000	RHYAC	4.40728937785586
Arctic	StreamInsects	140	RHYAC	-1.00097035136386
Arctic	StreamInsects	1400	RHYAC	1.12005620856218
Arctic	StreamInsects	2000	RHYAC	4.12405750575091
Arctic	StreamInsects	3000	RHYAC	0.310253798278118
Arctic	StreamInsects	340	RHYAC	-1.54631418134247
Arctic	StreamInsects	590	RHYAC	-0.545007513324235
Arctic	StreamInsects	740	RHYAC	1.02089837555439
Arctic	StreamInsects	1400	TIPULA	1.12058525407132
